DATE,INDCPIALLMINMEI
1994-04-01,22.3045581469939
1994-05-01,22.5533078660886
1994-06-01,22.9678907312974
1994-07-01,23.2995570234492
1994-08-01,23.5483067425438
1994-09-01,23.8799730346956
1994-10-01,23.9628896077144
1994-11-01,24.1287227537902
1994-12-01,23.9628896077144
1995-01-01,23.9628896077144
1995-02-01,24.1287227537902
1995-03-01,24.2945558998661
1995-04-01,24.460389045942
1995-05-01,24.8749719111508
1995-06-01,25.3724713493784
1995-07-01,25.9528873606248
1995-08-01,26.1187205067007
1995-09-01,26.2845536527765
1995-10-01,26.4503867988524
1995-11-01,26.6162199449283
1995-12-01,26.2845536527765
1996-01-01,26.1187205067007
1996-02-01,26.2016370797195
1996-03-01,26.4503867988524
1996-04-01,26.864969664023
1996-05-01,27.1966359561747
1996-06-01,27.6112188213835
1996-07-01,28.1087182595728
1996-08-01,28.4403845517246
1996-09-01,28.5233011247816
1996-10-01,28.6891342708575
1996-11-01,28.9378839899522
1996-12-01,29.0208005630092
1997-01-01,29.0208005630092
1997-02-01,29.0208005630092
1997-03-01,29.103717136028
1997-04-01,29.352466855161
1997-05-01,29.1866337090851
1997-06-01,29.4353834281798
1997-07-01,29.6841331473127
1997-08-01,29.7670497203315
1997-09-01,29.9328828664074
1997-10-01,30.2645491585591
1997-11-01,30.3474657315779
1997-12-01,30.8449651698055
1998-01-01,31.8399640462608
1998-02-01,31.6741309001849
1998-03-01,31.508297754109
1998-04-01,31.7570474732037
1998-05-01,32.2545469114313
1998-06-01,33.0837126418106
1998-07-01,34.0787115182659
1998-08-01,34.2445446643417
1998-09-01,34.8249606755881
1998-10-01,35.9028761250622
1998-11-01,36.317458990271
1998-12-01,35.5712098329487
1999-01-01,34.8249606755881
1999-02-01,34.4103778104176
1999-03-01,34.3274612373605
1999-04-01,34.4103778104176
1999-05-01,34.7420441025693
1999-06-01,34.8249606755881
1999-07-01,35.1566269677399
1999-08-01,35.3224601138157
1999-09-01,35.5712098329487
1999-10-01,36.2345424172139
1999-11-01,36.317458990271
1999-12-01,35.7370429789863
2000-01-01,35.7370429789863
2000-02-01,35.6541264059675
2000-03-01,35.9857926981192
2000-04-01,36.317458990271
2000-05-01,36.4832921363468
2000-06-01,36.6491252824227
2000-07-01,36.8978750015174
2000-08-01,36.7320418554415
2000-09-01,36.8149584284986
2000-10-01,37.2295412936691
2000-11-01,37.3124578667262
2000-12-01,36.9807915745744
2001-01-01,36.8978750015174
2001-02-01,36.7320418554415
2001-03-01,36.8978750015174
2001-04-01,37.1466247206503
2001-05-01,37.395374439745
2001-06-01,37.8928738779726
2001-07-01,38.3903733162002
2001-08-01,38.6391230352949
2001-09-01,38.5562064622761
2001-10-01,38.8049561813707
2001-11-01,39.1366224735225
2001-12-01,38.8878727544278
2002-01-01,38.7220396083519
2002-02-01,38.6391230352949
2002-03-01,38.8049561813707
2002-04-01,38.8878727544278
2002-05-01,39.1366224735225
2002-06-01,39.4682887656742
2002-07-01,39.8828716308448
2002-08-01,40.1316213499777
2002-09-01,40.2145379229965
2002-10-01,40.3803710690724
2002-11-01,40.5462042151482
2002-12-01,40.1316213499777
2003-01-01,40.0487047769206
2003-02-01,40.1316213499777
2003-03-01,40.3803710690724
2003-04-01,40.8778705073
2003-05-01,40.960787080357
2003-06-01,41.2095367994517
2003-07-01,41.5412030916034
2003-08-01,41.3753699455276
2003-09-01,41.3753699455276
2003-10-01,41.7070362376793
2003-11-01,41.7899528106981
2003-12-01,41.6241196646223
2004-01-01,41.7899528106981
2004-02-01,41.7899528106981
2004-03-01,41.7899528106981
2004-04-01,41.7899528106981
2004-05-01,42.1216191028499
2004-06-01,42.4532853950016
2004-07-01,42.8678682602104
2004-08-01,43.2824511253809
2004-09-01,43.365367698438
2004-10-01,43.6141174175327
2004-11-01,43.5312008445139
2004-12-01,43.1995345523621
2005-01-01,43.6141174175327
2005-02-01,43.5312008445139
2005-03-01,43.5312008445139
2005-04-01,43.8628671366274
2005-05-01,43.6970339905515
2005-06-01,43.8628671366274
2005-07-01,44.6091162939879
2005-08-01,44.7749494400638
2005-09-01,44.9407825861396
2005-10-01,45.4382820243672
2005-11-01,45.8528648895378
2005-12-01,45.6041151704048
2006-01-01,45.521198597386
2006-02-01,45.521198597386
2006-03-01,45.521198597386
2006-04-01,45.9037296780363
2006-05-01,46.2862607586866
2006-06-01,47.0513229199872
2006-07-01,47.4338540006376
2006-08-01,47.4338540006376
2006-09-01,47.8163850812879
2006-10-01,48.5814472425885
2006-11-01,48.5814472425885
2006-12-01,48.5814472425885
2007-01-01,48.5814472425885
2007-02-01,48.9639783232388
2007-03-01,48.5814472425885
2007-04-01,48.9639783232388
2007-05-01,49.3465094038891
2007-06-01,49.7290404845394
2007-07-01,50.49410264584
2007-08-01,50.8766337264903
2007-09-01,50.8766337264903
2007-10-01,51.2591648071406
2007-11-01,51.2591648071406
2007-12-01,51.2591648071406
2008-01-01,51.2591648071406
2008-02-01,51.6416958877909
2008-03-01,52.4067580490915
2008-04-01,52.7892891297418
2008-05-01,53.1718202103921
2008-06-01,53.5543512910424
2008-07-01,54.7019445329933
2008-08-01,55.4670066942939
2008-09-01,55.8495377749442
2008-10-01,56.6145999362448
2008-11-01,56.6145999362448
2008-12-01,56.2320688555945
2009-01-01,56.6145999362448
2009-02-01,56.6145999362448
2009-03-01,56.6145999362448
2009-04-01,57.3796620975454
2009-05-01,57.7621931781957
