DATE,CPI_diff,IIP_diff,IR_diff,MS_diff,STI_diff,NT_diff,FOREX
1999-02-01,34.993926522183,48.7852575097909,-4.5,1027.58268523204,46.2964665445864,-23.794581386881664,42.5316
1999-03-01,35.287798427558094,49.091230833146994,-3.5,1025.7547984818495,46.29784026102909,-23.140812642160988,42.5161
1999-04-01,35.711174652064,48.671072610435694,-3.5,1031.1513894463162,49.5723606605365,-23.59161576832512,42.7968
1999-05-01,35.3795083599123,48.23377464809911,-3.5,1032.78620130187,48.7608728342166,-25.904757431192063,42.859
1999-06-01,35.2965917868935,48.627502275629496,-3.5,1028.9219623314384,47.4768668276171,-28.476592312316637,43.2127
1999-07-01,35.17588082705959,48.7230620878978,-3.5,1027.476437057544,47.709104021593696,-29.010360964385686,43.3567
1999-08-01,35.1788119468382,48.7846911746154,-3.4400000000000004,1026.8040519147892,44.456130413507005,-27.990768424498008,43.5032
1999-09-01,35.2675907594139,48.4090124774262,-3.25,1023.3742542504972,42.9263908596088,-27.15507551225814,43.5981
1999-10-01,34.73083137453939,49.8634489403836,-3.25,1029.4193559003418,41.648225933452494,-28.84089252742617,43.5528
1999-11-01,34.690105867945896,50.3670238527058,-3.14,1035.7790849198514,46.0466014090709,-29.64069234562587,43.458
1999-12-01,35.27052187923059,49.75668472653069,-3.0,1045.2932240254456,45.6455081763257,-29.21900323091722,43.5239
2000-01-01,35.4814772115485,50.1402313202325,-3.0,1045.0522616722192,43.107683019302,-30.1665385770997,43.5895
2000-02-01,35.9863044492032,51.039586694244605,-2.76,1030.53404673588,39.2685354252922,-32.330789231680164,43.654
2000-03-01,36.2453130875417,49.88386760501909,-2.66,1030.981890236909,42.4415592630722,-34.897433576461346,43.6383
2000-04-01,35.9558378618535,50.263729221102096,-1.5,1037.7154453001472,46.08400225865691,-34.290018548648085,43.6847
2000-05-01,35.87438684870491,50.264109057014295,-1.29,1027.2751863096637,47.72732243941989,-35.47411721199615,44.0759
2000-06-01,36.088273300801305,50.6508976796874,-1.0,1025.521523752886,47.24118863216261,-36.378784488493096,44.7605
2000-07-01,36.008287847561,50.33857980578559,-2.0,1026.1866223509048,47.69128014275189,-36.821998247201726,44.8405
2000-08-01,36.1741209936369,50.0501067303189,-2.0,1023.5918747210436,50.154729462435,-35.572028102324346,45.7687
2000-09-01,36.470924018752,49.91049735970861,-2.0,1022.5956864466556,49.9533755092954,-38.40250070518554,45.968
2000-10-01,36.182914352972304,49.67516634305141,-2.0,1021.064649217019,50.0187225278652,-38.6118161425406,46.4252
2000-11-01,36.14218884637881,49.2495967338214,-2.0,1015.003740109496,49.58764406462019,-36.44613503604817,46.8214
2000-12-01,36.43166407206701,49.0367581490231,-2.0,1009.440314033294,49.0016588710783,-37.654569932986206,46.7845
2001-01-01,36.9786823762234,48.9767210436021,-2.4800000000000004,1018.0756665209628,49.21857944431309,-39.1782756279409,46.6138
2001-02-01,37.439852987544405,47.646025375436096,-2.5,1021.7056720892334,48.420825727374094,-34.22042072069972,46.5616
2001-03-01,37.4427841073229,47.5562286166315,-2.1900000000000004,1029.3592439505908,45.8093627171256,-36.917052563706775,46.6532
2001-04-01,37.489371853435095,47.135987327598606,-2.72,1035.7332158198622,47.3842449594892,-34.36580763526682,46.7886
2001-05-01,37.5781506660491,46.7207963992232,-3.27,1036.6828024861336,50.6363402067463,-30.70651534936555,46.9473
2001-06-01,37.2072244272122,45.9875373668944,-3.53,1043.606920653145,49.903817243579695,-33.3337278668379,47.0424
2001-07-01,36.49876965666671,45.7304398517026,-3.75,1055.9304550521508,48.5646254539343,-33.01670108924982,47.1781
2001-08-01,36.250019937572006,45.24721793288409,-3.84,1065.8538463070315,47.7816275654095,-32.226001932007534,47.1665
2001-09-01,36.670465042299504,44.6419762697884,-4.23,1123.3959282824512,43.9279833413861,-34.42180440043666,47.7511
2001-10-01,36.1685689244234,44.223911642388096,-4.48,1083.3959257774,44.349284742973296,-33.931264252133154,48.0514
2001-11-01,35.710329432880805,43.2342383182774,-4.92,1086.83811256351,45.4021414562602,-32.84445085027636,48.043
2001-12-01,35.6637416867304,43.155313390030194,-5.17,1098.2406414135685,45.6227485945414,-29.678213403151368,47.9345
2002-01-01,35.9983390986607,43.854906463974594,-5.25,1106.4422595620588,45.3631961667854,-33.48280652975421,48.3533
2002-02-01,36.3765931369628,43.57805894298821,-5.25,1106.2552721754512,43.5127812200498,-35.26206325383865,48.7168
2002-03-01,36.6326706555229,43.992418144537496,-5.25,1108.4940506750731,46.4321095720351,-34.984158404303585,48.7667
2002-04-01,36.971664747101606,43.9081585507788,-5.25,1101.1827174493926,45.6314890899176,-37.786534306878686,48.9386
2002-05-01,36.7229150280069,44.4672233250224,-5.25,1101.8014602924827,44.9442070162912,-37.55452619482627,49.0168
2002-06-01,36.4334398023188,44.777869336885495,-5.25,1105.0467066890528,42.0023705873741,-38.76624592679983,48.984
2002-07-01,36.1032390700754,44.2284988163328,-5.25,1109.7344224083538,36.5046332125562,-37.89350366982261,48.7877
2002-08-01,36.107635749724,43.821694713933496,-5.25,1096.6088876639392,37.5525838589091,-40.21397511771406,48.615
2002-09-01,36.151292376096,44.0639963384801,-5.25,1104.7995867029988,35.4835463827921,-40.13346286244684,48.4625
2002-10-01,36.1120324294108,43.3255257469771,-5.25,1111.3719399165093,34.7501814671048,-38.077605864064736,48.3882
2002-11-01,35.946199283335,44.1611204828283,-5.42,1115.948068547449,36.709270920513305,-42.367028273967314,48.2853
2002-12-01,36.19201788265121,43.1240737232895,-5.5,1125.3308122683386,35.3980375820408,-45.7296118420412,48.1495
2003-01-01,36.61246298741701,43.620191740495,-4.0,1131.1609913437942,35.1860200023826,-43.43729744446462,47.9571
2003-02-01,37.1202213448501,43.0956578660998,-4.0,1140.4282837429669,32.3962753945688,-42.07270135397865,47.7474
2003-03-01,37.3355733568548,43.22200885064591,-4.0,1142.423513331198,32.741814728085195,-45.10300237682323,47.6767
2003-04-01,36.669309652772895,42.569759498373806,-4.0,1149.5705757175622,35.5447017880268,-43.24932364779035,47.3909
2003-05-01,36.45981988032509,41.816961279038,-3.75,1166.189191397005,38.288681435878,-43.29288196317396,47.11
2003-06-01,36.2954522941576,41.7691505422833,-4.0,1175.577625317333,39.9123735984094,-41.39115429665348,46.6995
2003-07-01,36.0481681349331,41.6085118167664,-4.0,1180.264035468924,38.7452717801652,-43.4616407731626,46.22
