DATE,MANMM101INM189S
2009-08-01,12995997330567.6
2009-09-01,13150534867433.8
2009-10-01,13221064253845.6
2009-11-01,13271423758586.5
2009-12-01,13465848167003.7
2010-01-01,13853677602035.6
2010-02-01,13975176010649.5
2010-03-01,14333497827381.799
2010-04-01,14307251884510.4
2010-05-01,14568786194429.2
2010-06-01,14866105527889.8
2010-07-01,15249656592785.898
2010-08-01,15251100678590.6
2010-09-01,15295554624111.5
2010-10-01,15875377404072.6
2010-11-01,16045404855989.4
2010-12-01,16055050063375.9
2011-01-01,15794321232580.4
2011-02-01,15899486698603.5
2011-03-01,15855425071239.8
2011-04-01,15861301972910.8
2011-05-01,15860982872393.3
2011-06-01,15873212343714.3
2011-07-01,15938525908189.9
2011-08-01,16037298740023.6
2011-09-01,15996232097298.1
2011-10-01,16145019191540.6
2011-11-01,16301399615886.2
2011-12-01,17072792564616.6
2012-01-01,16875265670108.402
2012-02-01,16940487173785.1
2012-03-01,16906590230216.799
2012-04-01,17172220456608.0
2012-05-01,17264098129475.3
2012-06-01,17961464908196.3
2012-07-01,17520792653177.701
2012-08-01,17772444554213.3
2012-09-01,17708465803942.902
2012-10-01,17537770048400.402
2012-11-01,18073559755053.5
2012-12-01,18195940355319.2
2013-01-01,18217543696350.1
2013-02-01,18448961134840.3
2013-03-01,18551478339866.4
2013-04-01,18647290381195.598
2013-05-01,18957437312649.703
2013-06-01,19533184862210.6
2013-07-01,19213836627966.8
2013-08-01,19248958907247.2
2013-09-01,19376586100173.2
2013-10-01,19547627240546.0
2013-11-01,19739395484186.0
2013-12-01,19964909816125.9
2014-01-01,20308547451623.1
2014-02-01,20207441602375.4
2014-03-01,20150735616863.6
2014-04-01,20770932448399.4
2014-05-01,21262282235824.5
2014-06-01,21261016011285.1
2014-07-01,21246482231965.8
2014-08-01,21346229178023.3
2014-09-01,21419882834865.8
2014-10-01,21832533357051.3
2014-11-01,21958373871881.0
2014-12-01,22104890811458.6
2015-01-01,22262800576842.402
2015-02-01,22463192626919.9
2015-03-01,22552914879662.1
2015-04-01,22917881801389.203
2015-05-01,23233135023796.5
2015-06-01,23294653271256.098
2015-07-01,23606496119009.0
2015-08-01,23749371478136.6
2015-09-01,23864374161386.297
2015-10-01,23905354103746.0
2015-11-01,24441729275434.3
2015-12-01,24673382115456.0
2016-01-01,24733681300439.2
2016-02-01,25247504035752.6
2016-03-01,25532258186767.9
2016-04-01,26226334385866.0
2016-05-01,26274052059376.8
2016-06-01,26419023261293.7
2016-07-01,26744505394188.2
2016-08-01,27110501840840.902
2016-09-01,28331628509268.5
2016-10-01,27898048937752.0
2016-11-01,21094888633016.4
2016-12-01,20080601177080.5
2017-01-01,21257668785573.203
2017-02-01,22489536883386.0
2017-03-01,26293062389850.3
2017-04-01,25694513854620.6
2017-05-01,26025834859334.3
2017-06-01,26896990083940.6
2017-07-01,27185061944354.598
2017-08-01,27534504255927.9
2017-09-01,28633323342617.6
2017-10-01,28516880484964.5
2017-11-01,28387434046689.598
2017-12-01,29083227417969.1
2018-01-01,29537260943737.3
2018-02-01,29636555058488.5
2018-03-01,32007438296251.0
2018-04-01,31355679691123.0
2018-05-01,31472581494831.2
2018-06-01,31676657686217.7
2018-07-01,31951586606726.5
2018-08-01,32422421421697.1
2018-09-01,32688500890365.5
2018-10-01,32767789185913.2
2018-11-01,32979546731723.8
2018-12-01,33050457287509.3
