DATE,INDPROINDMISMEI
1994-04-01,26.9627230914054
1994-05-01,27.4002532900173
1994-06-01,28.1053954840066
1994-07-01,28.3572102496654
1994-08-01,28.5262797423837
1994-09-01,28.6558235767267
1994-10-01,29.1390832672265
1994-11-01,29.586125637327
1994-12-01,29.9991638836582
1995-01-01,30.5556436049354
1995-02-01,30.344759652831
1995-03-01,30.5598210995121
1995-04-01,31.2176940473475
1995-05-01,30.9609279041746
1995-06-01,31.2341069764167
1995-07-01,31.9815786390826
1995-08-01,32.0675279059316
1995-09-01,33.2768460472748
1995-10-01,32.3782319770693
1995-11-01,33.1902422990375
1995-12-01,33.7565360058752
1996-01-01,34.1361880741242
1996-02-01,33.4926565353028
1996-03-01,34.9618197504888
1996-04-01,34.5821926004913
1996-05-01,34.9526081042404
1996-06-01,34.5337167735679
1996-07-01,34.1041424895151
1996-08-01,34.9232433114819
1996-09-01,34.5222353604595
1996-10-01,35.0978770045973
1996-11-01,33.9772176601324
1996-12-01,35.0028851430073
1997-01-01,34.6840091843887
1997-02-01,35.5002001420228
1997-03-01,36.0910203375601
1997-04-01,36.0806970612321
1997-05-01,36.343425380405
1997-06-01,36.6595638236854
1997-07-01,36.9153878937727
1997-08-01,36.8268750620196
1997-09-01,37.3156611995579
1997-10-01,37.5298774899752
1997-11-01,37.6149949976418
1997-12-01,37.4175105275685
1998-01-01,37.6130484381071
1998-02-01,37.9967969388244
1998-03-01,37.4800799621902
1998-04-01,37.9279942659985
1998-05-01,37.9838249726337
1998-06-01,38.5309816672201
1998-07-01,38.3180824244007
1998-08-01,38.4991211759519
1998-09-01,38.3818859771055
1998-10-01,37.6072674305488
1998-11-01,39.4221533867029
1998-12-01,39.0026611126934
1999-01-01,39.7136056879374
1999-02-01,39.3445424902091
1999-03-01,39.207469166853
1999-04-01,39.8236273895643
1999-05-01,40.8109253519009
1999-06-01,40.3526977243705
1999-07-01,40.7924379121022
1999-08-01,41.1137088253846
1999-09-01,41.0869875225738
1999-10-01,40.8090510596164
1999-11-01,40.7767761472942
1999-12-01,42.0877152734693
2000-01-01,41.6539686797675
2000-02-01,41.0876133057554
2000-03-01,42.5894323949809
2000-04-01,42.7981707788979
2000-05-01,43.0785909429857
2000-06-01,42.7399023203126
2000-07-01,42.8654201942144
2000-08-01,42.9135932696811
2000-09-01,43.4428026402914
2000-10-01,43.3267336569486
2000-11-01,43.7641032661786
2000-12-01,43.7020418509769
2001-01-01,43.2286789563979
2001-02-01,43.9352746245639
2001-03-01,43.8004713833685
2001-04-01,43.9360126724014
2001-05-01,43.8127036007768
2001-06-01,44.0446626331056
2001-07-01,43.7473601482974
2001-08-01,44.1365820671159
2001-09-01,44.2842237302116
2001-10-01,44.4125883576119
2001-11-01,44.8715616817226
2001-12-01,44.9343866099698
2002-01-01,44.8156935360254
2002-02-01,45.0942410570118
2002-03-01,45.3699818554625
2002-04-01,45.8851414492212
2002-05-01,45.6956766749776
2002-06-01,46.1299306631145
2002-07-01,46.6476011836672
2002-08-01,46.9633052860665
2002-09-01,46.8291036615199
2002-10-01,47.3033742530229
2002-11-01,46.9754795171717
2002-12-01,47.5133262767105
2003-01-01,47.765008259505
2003-02-01,48.3983421339002
2003-03-01,47.9989911493541
2003-04-01,48.0750405016262
2003-05-01,48.799338720962
2003-06-01,48.9680494577167
2003-07-01,49.5942881832336
2003-08-01,49.8692319617954
2003-09-01,50.1729869462417
2003-10-01,49.9703583597927
2003-11-01,51.1766243381931
2003-12-01,50.9088529812899
2004-01-01,51.6656739880323
2004-02-01,50.8759821853832
2004-03-01,51.4819930532698
2004-04-01,53.9802276186295
2004-05-01,53.6379215977643
2004-06-01,53.7216494045371
2004-07-01,55.4629771583906
2004-08-01,55.8092290263045
2004-09-01,56.7250730246844
2004-10-01,56.892696176588
2004-11-01,56.815320763895
2004-12-01,57.2271957114872
2005-01-01,57.1919335707011
2005-02-01,57.8883596011393
2005-03-01,58.8220313545411
2005-04-01,56.3465944738352
2005-05-01,56.7042799462431
2005-06-01,57.6790327144215
2005-07-01,56.6270958429013
2005-08-01,58.0569711864117
2005-09-01,57.7898617534715
2005-10-01,59.0321435302996
2005-11-01,58.1384304238988
2005-12-01,60.2672043722758
2006-01-01,61.2596430698415
2006-02-01,61.5595453192141
2006-03-01,62.6886614830544
2006-04-01,62.0494569592595
2006-05-01,62.7703720270254
2006-06-01,62.8875492223606
2006-07-01,65.0391910775621
2006-08-01,63.9010030296475
2006-09-01,65.5782052811978
2006-10-01,64.4259438693078
2006-11-01,70.0225501294195
2006-12-01,68.8739829206846
2007-01-01,69.788139153732
2007-02-01,70.2090563297386
2007-03-01,71.6977906663601
2007-04-01,72.5772601881327
2007-05-01,74.6745276605553
2007-06-01,75.1709741808437
2007-07-01,75.2867140868303
2007-08-01,75.4749249177027
2007-09-01,74.4974125029593
2007-10-01,76.6790544933794
2007-11-01,77.2596606228542
2007-12-01,78.4314367366845
2008-01-01,79.2517010303648
2008-02-01,79.2601274516636
2008-03-01,80.1833319143164
2008-04-01,79.9264590671885
2008-05-01,80.1862537558363
2008-06-01,81.2849053187263
2008-07-01,79.1901391479234
2008-08-01,80.1726563340248
2008-09-01,82.1724488416657
2008-10-01,79.6672120383993
2008-11-01,78.9803219214068
2008-12-01,76.8621843206016
2009-01-01,75.3702502657011
2009-02-01,76.2402680139507
2009-03-01,75.6818933523008
2009-04-01,78.040487854482
2009-05-01,79.0076565403204
2009-06-01,79.5699377589871
2009-07-01,80.4324261349722
2009-08-01,84.5641728323536
2009-09-01,83.5920953014429
