DATE,M1SL
2016-05-01,3237.3
2016-06-01,3244.1
2016-07-01,3242.5
2016-08-01,3315.7
2016-09-01,3322.6
2016-10-01,3330.3
2016-11-01,3354.7
2016-12-01,3345.4
2017-01-01,3398.2
2017-02-01,3411.3
2017-03-01,3456.2
2017-04-01,3450.1
2017-05-01,3512.8
2017-06-01,3520.9
2017-07-01,3541.8
2017-08-01,3580.3
2017-09-01,3563.4
2017-10-01,3601.2
2017-11-01,3631.9
2017-12-01,3618.9
2018-01-01,3668.4
2018-02-01,3633.9
2018-03-01,3672.5
2018-04-01,3653.6
2018-05-01,3646.2
2018-06-01,3644.7
2018-07-01,3669.2
2018-08-01,3682.7
2018-09-01,3692.3
2018-10-01,3721.5
2018-11-01,3708.4
2018-12-01,3771.2
