DATE,XTNTVA01USM667S
2009-09-01,-44594000000.0
2009-10-01,-44480000000
2009-11-01,-48840000000
2009-12-01,-49327000000.0
2010-01-01,-48506000000.0
2010-02-01,-50965000000.0
2010-03-01,-50452000000.0
2010-04-01,-51309000000.0
2010-05-01,-52611000000.0
2010-06-01,-57708000000.0
2010-07-01,-52418000000.0
2010-08-01,-57100000000
2010-09-01,-56101000000.0
2010-10-01,-52572000000.0
2010-11-01,-51372000000.0
2010-12-01,-54251000000.0
2011-01-01,-61361000000.0
2011-02-01,-58523000000.0
2011-03-01,-58639000000.0
2011-04-01,-56667000000.0
2011-05-01,-61733000000.0
2011-06-01,-64075000000.0
2011-07-01,-60718000000.0
2011-08-01,-60607000000.0
2011-09-01,-58309000000.0
2011-10-01,-59417000000.0
2011-11-01,-61482000000.0
2011-12-01,-63916000000.0
2012-01-01,-65813000000.0
2012-02-01,-59065000000.0
2012-03-01,-65560000000
2012-04-01,-63647000000.0
2012-05-01,-62772000000.0
2012-06-01,-58941000000.0
2012-07-01,-59226000000.0
2012-08-01,-60532000000.0
2012-09-01,-56649000000.0
2012-10-01,-59019000000.0
2012-11-01,-63902000000.0
2012-12-01,-55473000000.0
2013-01-01,-59940000000.0
2013-02-01,-60295000000.0
2013-03-01,-55348000000.0
2013-04-01,-56916000000.0
2013-05-01,-61199000000.0
2013-06-01,-54649000000.0
2013-07-01,-57180000000.0
2013-08-01,-57843000000.0
2013-09-01,-60421000000.0
2013-10-01,-57077000000.0
2013-11-01,-53614000000.0
2013-12-01,-55447000000.0
2014-01-01,-59798000000.0
2014-02-01,-60553000000.0
2014-03-01,-61468000000.0
2014-04-01,-64809000000.0
2014-05-01,-62103000000.0
2014-06-01,-61171000000.0
2014-07-01,-59817000000.0
2014-08-01,-58501000000.0
2014-09-01,-61812000000.0
2014-10-01,-61327000000.0
2014-11-01,-59917000000.0
2014-12-01,-63917000000.0
2015-01-01,-62786000000.0
2015-02-01,-57431000000.0
2015-03-01,-70193000000.0
2015-04-01,-61293000000.0
2015-05-01,-60364000000.0
2015-06-01,-63231000000.0
2015-07-01,-60581000000.0
2015-08-01,-64186000000.00001
2015-09-01,-61548000000.0
2015-10-01,-61574000000.0
2015-11-01,-60636000000.0
2015-12-01,-61259000000.0
2016-01-01,-61647000000.0
2016-02-01,-64397000000.00001
2016-03-01,-56641000000.0
2016-04-01,-57520000000.0
2016-05-01,-59935000000.0
2016-06-01,-63899000000.0
2016-07-01,-61688000000.0
2016-08-01,-60822000000.0
2016-09-01,-59224000000.0
2016-10-01,-61831000000.0
2016-11-01,-65488000000.0
2016-12-01,-63486000000.0
