DATE,m1_usa
01/02/19,3.7834E+12
01/03/19,3.7464E+12
01/04/19,3.7706E+12
01/05/19,3.7754E+12
01/06/19,3.8134E+12
01/07/19,3.8448E+12
01/08/19,3.844E+12
01/09/19,3.8877E+12
01/10/19,3.9261E+12
01/11/19,3.9556E+12
01/12/19,4.0112E+12
